query_idx,language,stt_ms,retrieval_ms,generation_ms,guardrails_ms,total_ms,wall_time_ms,guardrail_flags,status
1,hi,0.0,33.69,1374.82,15.8,1424.77,3477.15,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
2,hi,0.0,43.88,598.69,0.57,643.4,645.62,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
3,hi,0.0,54.89,606.7,0.62,662.5,664.69,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
4,hi,0.0,32.78,693.88,0.4,727.26,729.06,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
5,hi,0.0,30.55,685.66,0.75,717.36,720.13,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
6,hi,0.0,25.5,834.85,0.41,860.98,862.93,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
7,hi,0.0,25.28,611.56,0.61,637.79,639.58,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
8,hi,0.0,25.31,664.73,0.59,690.83,692.97,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
9,hi,0.0,25.2,1500.98,0.7,1527.15,1529.32,[],ok
10,hi,0.0,51.23,619.14,0.46,671.18,673.6,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
11,hi,0.0,26.73,1527.94,0.36,1555.24,1557.35,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
12,hi,0.0,27.56,1473.22,0.45,1501.44,1503.22,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
13,hi,0.0,27.5,1508.87,0.74,1537.35,1539.35,[],ok
14,hi,0.0,36.86,1511.44,0.38,1548.96,1551.12,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
15,hi,0.0,25.52,1491.81,0.48,1518.11,1520.32,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
16,hi,0.0,31.62,1515.21,0.4,1547.42,1549.22,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
17,hi,0.0,49.28,1507.13,0.64,1557.4,1560.22,[],ok
18,hi,0.0,42.77,1519.98,0.86,1564.06,1566.94,[],ok
19,hi,0.0,106.41,1517.88,1.4,1626.3,1629.45,[],ok
20,hi,0.0,38.94,1502.29,0.92,1542.61,1547.04,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
21,hi,0.0,37.78,1508.51,1.81,1548.84,1552.85,[],ok
22,hi,0.0,37.2,1486.44,1.91,1526.14,1530.15,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
23,hi,0.0,49.21,744.74,1.86,796.24,798.9,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
24,hi,0.0,55.25,1517.89,7.25,1580.88,1583.31,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
25,hi,0.0,49.03,1518.34,0.98,1568.79,1571.68,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
26,hi,0.0,45.4,1498.71,0.56,1545.12,1547.57,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
27,hi,0.0,38.69,1513.14,0.92,1553.23,1556.61,[],ok
28,hi,0.0,34.76,1509.53,1.29,1546.09,1549.61,[],ok
29,hi,0.0,45.56,1510.32,1.94,1558.51,1561.81,[],ok
30,hi,0.0,38.53,1522.72,1.21,1562.89,1566.14,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
31,hi,0.0,34.64,1512.92,0.65,1548.68,1551.82,[],ok
32,hi,0.0,49.64,1526.09,1.51,1577.83,1580.38,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
33,hi,0.0,34.2,1511.61,1.77,1548.0,1551.57,[],ok
34,hi,0.0,37.9,1515.71,3.97,1558.31,1562.77,[],ok
35,hi,0.0,39.79,1510.61,0.92,1551.76,1554.67,[],ok
36,hi,0.0,40.45,584.29,1.8,627.09,631.75,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
37,hi,0.0,32.74,1521.49,0.87,1555.73,1560.65,[],ok
38,hi,0.0,34.59,713.45,0.56,748.9,751.15,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
39,hi,0.0,38.27,1505.38,0.6,1544.65,1548.12,[],ok
40,hi,0.0,45.88,1513.95,0.86,1561.03,1563.15,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
41,hi,0.0,44.01,1512.85,1.66,1559.21,1563.81,[],ok
42,hi,0.0,42.86,1509.65,1.73,1554.8,1558.33,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
43,hi,0.0,43.79,1514.82,1.02,1560.19,1564.91,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
44,hi,0.0,38.17,1515.83,1.92,1556.44,1560.22,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
45,hi,0.0,38.83,606.37,0.83,646.4,649.07,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
46,hi,0.0,48.79,1517.0,1.01,1567.23,1569.68,['ungrounded: मुझे विश्वास नहीं है कि यह उत्तर स्रोत दस्तावेजों द्वारा पूरी तरह से समर्थित है। यहाँ प्रासंगिक अंश हैं:'],ok
